Date Time;Frequency ;Current A;Current B ;Current C ;Voltage AB;Voltage BC;Voltage CA;Active power ;Apparent power (VA);Active energy delivered Wh;Humidity;Temperature
25/6/2021 12:30;60,02;60,16;56,13;76,04;225,82;224,89;224,76;24376,84;7955,48;6763,00;65,26;26,87
25/6/2021 12:45;60,03;74,46;90,74;94,62;225,99;224,82;224,88;32825,76;9852,91;7528,00;65,21;26,98
25/6/2021 13:00;59,98;72,81;93,02;89,42;225,74;224,64;224,69;32201,18;9627,21;7994,00;65,07;27,11
25/6/2021 13:15;60,00;66,98;85,91;94,83;224,70;223,38;223,36;30902,15;8813,57;7282,00;64,71;27,24
25/6/2021 13:30;60,02;59,16;80,08;95,22;224,46;223,18;222,86;29142,02;7769,88;7339,00;64,60;27,27
25/6/2021 13:45;60,01;47,82;78,29;87,24;224,45;223,22;222,76;26392,34;6278,10;7034,00;64,09;27,62
25/6/2021 14:00;60,04;43,58;78,24;99,30;225,76;224,60;224,26;27614,58;5759,06;6328,00;63,97;27,64
25/6/2021 14:15;60,01;54,49;61,62;61,07;225,36;224,57;224,40;22358,29;7195,47;6883,00;64,16;27,58
25/6/2021 14:30;59,98;42,62;56,10;56,61;225,62;224,64;224,36;19542,46;5630,85;6508,00;64,63;27,43
25/6/2021 14:45;60,01;51,09;61,78;64,29;226,31;225,31;224,94;22203,54;6769,10;5742,00;65,02;27,30
25/6/2021 15:00;60,01;40,47;66,59;65,30;226,15;225,06;224,97;21631,66;5361,46;5148,00;65,45;27,11
25/6/2021 15:15;60,02;41,30;64,18;68,82;226,42;225,30;225,13;21763,83;5477,23;5220,00;65,80;26,98
25/6/2021 15:30;60,02;50,78;61,41;75,73;226,56;225,55;225,46;23699,47;6741,52;5430,00;66,02;27,10
25/6/2021 15:45;59,97;54,45;62,51;78,81;226,79;225,95;225,86;24713,20;7237,56;5851,00;65,98;27,16
25/6/2021 16:00;60,01;40,06;61,26;67,67;227,18;226,05;226,09;21213,06;5333,65;5318,00;66,24;27,15
25/6/2021 16:15;60,06;39,64;62,87;65,10;226,90;225,70;225,63;21037,05;5269,13;5167,00;66,12;27,06
25/6/2021 16:30;60,02;39,53;57,56;64,47;227,44;226,25;226,35;20324,97;5268,91;4883,00;65,99;27,06
25/6/2021 16:45;60,02;29,47;54,97;60,10;227,78;226,52;226,70;17637,87;3934,42;4645,00;66,00;27,05
25/6/2021 17:00;60,04;30,15;39,68;35,78;228,69;227,52;227,83;12567,14;4044,28;3847,00;65,79;27,04
25/6/2021 17:15;59,99;25,85;37,40;23,73;228,61;227,50;227,95;10337,47;3467,96;2789,00;65,97;27,05
25/6/2021 17:30;60,02;13,89;25,86;20,84;229,62;228,44;228,90;7457,59;1871,11;2338,00;66,10;27,00
25/6/2021 17:45;59,96;13,20;31,12;20,97;229,85;228,73;229,18;7842,00;1780,60;2094,00;66,20;27,00
25/6/2021 18:00;60,02;12,95;25,79;20,27;230,70;229,71;230,10;7253,73;1752,66;1929,00;65,84;26,98
25/6/2021 18:15;60,00;13,38;24,92;24,77;230,39;229,14;229,49;7622,69;1808,64;1921,00;65,08;26,84
25/6/2021 18:30;60,04;15,27;31,10;24,70;229,00;227,73;228,28;8647,81;2051,45;2235,00;65,12;26,82
25/6/2021 18:45;59,96;15,77;27,91;24,13;229,42;228,25;228,59;8355,04;2122,93;2073,00;65,86;26,70
25/6/2021 19:00;59,97;24,19;37,19;24,45;229,29;228,29;228,57;10376,13;3253,52;2231,00;66,19;26,61
25/6/2021 19:15;60,01;28,96;27,53;23,41;230,00;228,88;229,06;10180,26;3905,14;2253,00;66,97;26,55
